NAICSIO,Industry Title,SCTG,Proportion,Description
621400,Outpatient care centers,,,
621500,Medical and diagnostic laboratories,,,
621600,Home health care services,,,
621900,Other ambulatory health care services,,,
622000,Hospitals,,,
623A00,Nursing and community care facilities,,,
623B00,"Residential mental health, substance abuse, and other residential care facilities",,,
624100,Individual and family services,,,
624A00,"Community food, housing, and other relief services, including vocational rehabilitation services",,,
624400,Child day care services,,,
711100,Performing arts companies,,,
711200,Spectator sports,,,
711A00,Promoters of performing arts and sports and agents for public figures,,,
711500,"Independent artists, writers, and performers",,,
712000,"Museums, historical sites, zoos, and parks",,,
713100,Amusement parks and arcades,,,
713200,Gambling industries (except casino hotels),,,
713900,Other amusement and recreation industries,,,
721000,Accommodation,,,
722110,Full-service restaurants,,,
722211,Limited-service restaurants,,,
722A00,All other food and drinking places,,,
811100,Automotive repair and maintenance (including car washes),,,
811200,Electronic and precision equipment repair and maintenance,,,
811300,Commercial and industrial machinery and equipment repair and maintenance,,,
811400,Personal and household goods repair and maintenance,,,
812100,Personal care services,,,
812200,Death care services,,,
812300,Dry-cleaning and laundry services,,,
812900,Other personal services,,,
813100,Religious organizations,,,
813A00,"Grantmaking, giving, and social advocacy organizations",,,
813B00,"Civic, social, professional, and similar organizations",,,
814000,Private households,,,
S00500,Federal general government (defense),,,
S00600,Federal general government (nondefense),,,
491000,Postal service,,,
S00101,Federal electric utilities,,,
S00102,Other federal government enterprises,,,
GSLGE,State and local government (educational services),,,
GSLGH,State and local government (hospitals and health services),,,
GSLGO,State and local government (other services),,,
S00201,State and local government passenger transit,,,
S00202,State and local government electric utilities,,,
S00203,Other state and local government enterprises,,,
S00401,Scrap,,,
S00402,Used and secondhand goods,,,
S00300,Noncomparable imports,,,
S00900,Rest of the world adjustment,,,
